# Real Sun + 8 planets + moons. Planets: JPL SSD Keplerian
# Elements for Approximate Positions of the Major Planets, J2000.
# Moons: JPL SSD Planetary Satellite Mean Elements
# (ssd.jpl.nasa.gov/sats/elem/) and Physical Parameters
# (ssd.jpl.nasa.gov/sats/phys_par/). Elements are given relative to
# the ecliptic (pole_ra/pole_dec empty) or a local Laplace/equatorial
# plane (pole_ra/pole_dec given), per each source table's own stated
# frame; see src/Applications/Helper/README.md's Pole section.
# Default epoch (epoch_jd empty): J2000, JD 2451545.0.
#
# Moons with no individually measured mass or radius (most of the
# small, irregular, captured moons -- JPL does not publish precise
# values for these) use an estimated 5 km radius and
# 1500 kg/m^3 density (a typical rocky/icy small-body value).
# This is a real, documented approximation, not a measurement; these
# bodies are gravitationally negligible to the system either way, so
# it affects only their rendered scale, not the dynamics.
name,parent,mass_kg,radius_km,color_r,color_g,color_b,semi_major_axis_km,eccentricity,inclination_deg,longitude_of_ascending_node_deg,argument_of_periapsis_deg,mean_anomaly_deg,pole_ra_deg,pole_dec_deg,epoch_jd
Fornjot,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,24936800,0.213,170.0,269.3,321.9,53.5,,,
Hati,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,19695000,0.372,165.4,316.3,10.4,270.6,,,
Hyrrokkin,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,18340900,0.336,149.9,40.2,264.8,214.8,,,
Kari,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,22032100,0.469,153.0,288.3,160.2,83.1,,,
Loge,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,22919200,0.191,168.1,333.0,20.5,32.1,,,
Skoll,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,17623400,0.463,159.4,294.0,186.1,181.2,,,
Surtur,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,22748000,0.448,168.4,255.3,314.4,9.9,,,
Jarnsaxa,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,19273500,0.218,163.0,9.2,229.2,175.5,,,
Greip,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,18380000,0.317,174.2,335.8,146.2,355.9,,,
Tarqeq,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,17751000,0.144,48.7,93.3,72.2,292.8,,,
Gridr,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,19250600,0.187,163.9,330.8,271.4,197.0,,,
Angrboda,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,20591500,0.216,177.7,279.1,104.2,263.0,,,
Skrymir,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,21447400,0.437,175.6,177.7,68.1,68.9,,,
Gerd,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,20947500,0.517,174.4,260.4,307.2,49.5,,,
S2004_S_26,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,26097500,0.147,172.9,328.8,148.4,193.6,,,
Eggther,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,19844600,0.157,165.0,84.5,130.1,111.7,,,
S2004_S_29,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,17063900,0.485,38.6,157.9,309.5,244.1,,,
Beli,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,20703700,0.087,158.9,258.7,263.5,191.7,,,
Gunnlod,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,21141800,0.251,160.4,293.3,24.7,311.4,,,
Thiazzi,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,23577500,0.511,158.8,73.1,303.2,334.7,,,
S2004_S_34,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,24145800,0.279,168.3,292.6,354.5,160.0,,,
Alvaldi,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,21993800,0.238,177.4,321.8,188.1,38.3,,,
Geirrod,Saturn,7.853982e+14,5.0,0.55,0.53,0.5,22259400,0.539,154.4,127.9,349.6,202.2,,,
Ariel,Uranus,1.251068e+21,578.9,0.6,0.58,0.55,190929,0.001,0.0,0.0,9.6,193.5,77.3,15.2,
Umbriel,Uranus,1.275040e+21,584.7,0.6,0.58,0.55,265986,0.004,0.1,174.8,183.4,253.0,77.3,15.2,
Titania,Uranus,3.399607e+21,788.9,0.6,0.58,0.55,436298,0.002,0.1,29.5,184.0,68.1,77.3,15.2,
